Var1_1,Var1_2,Var1_3,Var1_4,Var1_5
1,1.63183306599766,1.63183306245526,1.63183306588442,1.63183306588394
7,0.562569808661652,0.585623949754454,0.588929087313356,0.592213175150877
13,0.369772149031261,0.396787323747914,0.400141368457792,0.389699567423075
19,0.286927830705326,0.308663728315753,0.325822012734232,0.304178314916617
25,0.229667396270785,0.258887437933889,0.271598071982896,0.251549522668816
31,0.186154612312356,0.2133824172445,0.236009506510481,0.222195363498275
37,0.15769963068539,0.183893651082073,0.202777475242329,0.189414731632701
43,0.136836978257168,0.154785942254491,0.173572011068112,0.173146702777103
49,0.117812876641939,0.133802128580769,0.151326792198488,0.157377683843602
55,0.0992300359795427,0.115629355140122,0.133557299069914,0.151658488076217
