Var1_1,Var1_2
0,6.31716901011714e-14
0,0.0276986897499945
0,0.0554966612320998
0,0.083303157717709
0,0.111089547285836
0,0.139103568218546
0,0.16707485222321
0,0.195113451200302
0,0.223196910134414
0,0.251341697950425
20,0.277511463009258
20,0.29713374023197
20,0.31758492491631
20,0.33842545141244
20,0.360179893524632
20,0.382915243186398
20,0.405946988003039
20,0.4293292443678
45,0.451868387824786
45,0.464115688215644
45,0.476614717854031
45,0.489777247252699
45,0.503167125661901
45,0.516636660725128
45,0.530105810642016
45,0.543713567691452
45,0.557551766478809
45,0.572080535778269
45,0.586725816006178
45,0.601813186035972
45,0.617244293693566
45,0.632741113078926
45,0.648383042610633
72,0.654674328171222
72,0.65679347455287
72,0.65915427991453
72,0.661626628865752
72,0.664109490888295
72,0.666605801836754
72,0.669155752677254
72,0.671778033922296
72,0.674386072242661
72,0.676998618978196
72,0.679630443960976
72,0.682344394343116
72,0.685109520849352
72,0.687980471000948
72,0.690858439687489
72,0.693766864328232
72,0.696749117662322
72,0.699794293467038
72,0.702924359512211
72,0.706142978358976
72,0.709365986125252
72,0.712591267385905
72,0.715893338347238
72,0.719303742554246
72,0.722727034108708
72,0.726139341782721
72,0.72956425907136
72,0.733080390131739
72,0.735978634534479
72,0.739483785892151
72,0.743034106152303
72,0.746625963087735
72,0.750199563643121
72,0.7542295629499
72,0.757921536194277
72,0.761775327475886
72,0.765646885923337
72,0.769521338028222
72,0.773404140380395
72,0.777295175751216
72,0.781187392432458
72,0.785137938583152
72,0.789132400573462
72,0.793216352078933
72,0.797318449248915
72,0.801435450368464
72,0.805562485099659
72,0.809688987580738
72,0.813825544259313
72,0.817978664462307
72,0.822167189168791
72,0.826368206441869
72,0.830591494332897
72,0.834820827414883
72,0.839088735844535
72,0.843408339487092
72,0.847762952611872
72,0.852239866409344
72,0.856803181169434
72,0.861361424548091
72,0.865971716984981
72,0.870626328963963
72,0.87530834180671
72,0.879997106070331
72,0.884710525169959
72,0.889477217294975
72,0.894275672168866
