Var1_1,Var1_2,Var1_3,Var1_4,Var1_5
1,5.32287306692369,5.32287176127966,5.32287306691939,5.32287306689348
12,4.15739663993807,4.16590876384713,4.61342816718245,4.24455399605112
23,3.44999629774655,3.47795698449398,4.07125320951829,3.5702481999355
34,2.89557632224198,2.95393622317383,3.67731905982693,3.07811582167265
45,2.52338190855081,2.56088172346798,3.21133130949856,2.68298325163434
56,2.16209012064424,2.19581574981404,2.83518823654463,2.3756347998149
67,1.83572076368905,1.87812875728798,2.53631941183247,1.99099651225881
78,1.54550315507017,1.59539889305178,2.23957023362725,1.65437966076776
89,1.26903793802651,1.30860081416844,1.95908798575207,1.37687402053578
100,1.04609598443047,1.08380080886485,1.66270679910371,1.17122048941654
