index
5
2
5
6
4
5
5
9
5
2
4
4
3
2
2
5
5
4
5
7
6
2
3
1
2
4
5
5
1
4
5
5
4
7
5
2
3
5
5
3
4
7
4
4
5
7
5
5
5
3
4
7
5
5
9
2
1
8
5
5
7
7
7
3
3
2
5
7
5
5
7
5
3
2
1
5
5
7
5
5
7
4
7
1
1
1
1
7
7
8
2
1
5
2
2
7
5
7
7
