Var1_1,Var1_2
0,6.31716901011714e-14
4,0.0971018926207275
15,0.157672790160233
18,0.20348178684105
24,0.246091229355613
31,0.282213815713847
32,0.315970197851108
38,0.344124251147575
42,0.369349833850528
44,0.39159681210267
47,0.41315882801276
48,0.433835570003417
49,0.453734000314693
51,0.47286700899029
53,0.491515276655909
54,0.509791548104767
55,0.527621889175338
55,0.545524134124176
56,0.563179604352344
57,0.580236823958962
58,0.596857151086529
60,0.612882030847371
60,0.628338839249736
60,0.643890142495449
63,0.658918688994288
64,0.672753779331191
64,0.686565957858169
65,0.700160914853779
65,0.713791634304943
66,0.727129367583875
66,0.740475827147
66,0.753747860396701
67,0.76706266098316
73,0.78016215021509
73,0.790490985870236
74,0.800401901099641
75,0.809758029816191
75,0.818932966236987
75,0.828202038463871
75,0.837376460686924
75,0.846456919238343
75,0.855580031542131
75,0.864691366376756
75,0.873834961800226
75,0.88296879392499
75,0.892040015550695
76,0.90104806698867
77,0.909749877025207
77,0.917952709730723
77,0.926079460176739
77,0.934162445105479
77,0.942238823893775
77,0.950268329860352
77,0.958300553515439
77,0.966397244501578
77,0.9744923352169
78,0.982612168061651
78,0.990794377753566
78,0.999012215930722
78,1.00724580066392
78,1.01548560574824
79,1.02359732012732
79,1.03157801233651
79,1.03952366780417
79,1.04752613021069
80,1.05547206349569
80,1.06328412520261
80,1.071227365552
80,1.07911290210194
80,1.08698045856473
80,1.09480734614795
80,1.10261909389384
80,1.11041173769657
81,1.11825626227332
83,1.12606231484152
84,1.13233672803456
84,1.13842486824394
84,1.14450802509077
84,1.15068208873497
84,1.15686151617183
84,1.16303693957279
84,1.16919191068489
84,1.1753265391065
84,1.18148385349305
84,1.18763765401263
84,1.19379301078912
84,1.19997518996117
84,1.20614200834336
84,1.21230940740396
85,1.21820875232684
85,1.22363536234779
85,1.22917080503733
85,1.23469876244201
85,1.24024491743598
85,1.2458183202645
85,1.25142390083003
85,1.25709759485654
85,1.26277232085858
85,1.26843358189886
86,1.27398367607575
